model,model_path,validation_accuracy,validation_loss
EfficientNetB0,C:\Users\banya\crop-disease-detection-deep-learning\models\crop_disease_efficientnetb0_2.keras,0.9702367186546326,0.09249648451805115
MobileNetV2,C:\Users\banya\crop-disease-detection-deep-learning\models\crop_disease_mobilenetv2_1.keras,0.9596517086029053,0.12344176322221756
